Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
106,39.383,7.04,-0.98,0.01,-0.04,-1.24,-0.31,0.01,0.00,1.22,0.00
107,39.416,6.97,-1.11,-0.04,-0.05,-1.15,-0.24,0.00,0.00,1.24,0.00
108,39.449,6.74,-1.28,-0.08,-0.05,-0.58,-0.12,0.00,0.00,1.32,0.00
109,39.483,6.37,-1.47,-0.08,-0.05,0.17,-0.03,0.00,0.00,1.43,0.00
110,39.516,6.05,-1.66,-0.06,-0.05,0.73,0.02,0.00,0.00,1.51,0.00
111,39.550,5.92,-1.81,-0.02,-0.05,0.87,-0.00,0.00,0.00,1.53,0.00
112,39.583,5.94,-1.97,0.01,-0.05,0.56,-0.08,0.01,0.00,1.48,0.00
113,39.616,6.04,-2.15,0.02,-0.06,0.10,-0.16,0.02,0.00,1.42,0.00
114,39.649,6.13,-2.34,0.01,-0.06,-0.18,-0.22,0.01,0.00,1.38,0.00
115,39.683,6.11,-2.55,-0.00,-0.07,-0.28,-0.25,0.00,0.00,1.36,0.00
116,39.716,6.05,-2.81,-0.01,-0.08,-0.37,-0.26,0.00,0.00,1.35,0.00
117,39.749,6.06,-3.10,-0.02,-0.09,-0.46,-0.28,0.00,0.00,1.34,0.00
118,39.783,6.00,-3.39,-0.04,-0.10,-0.44,-0.27,0.00,0.00,1.34,0.00
119,39.816,5.76,-3.73,-0.06,-0.11,-0.18,-0.23,0.00,0.00,1.38,0.00
120,39.850,5.48,-4.12,-0.06,-0.11,0.21,-0.19,0.00,0.00,1.43,0.00
121,39.883,5.30,-4.52,-0.04,-0.12,0.40,-0.22,0.00,0.00,1.46,0.00
122,39.916,5.24,-4.91,-0.02,-0.12,0.26,-0.38,0.00,0.00,1.44,0.00
123,39.950,5.23,-5.31,-0.02,-0.14,-0.01,-0.58,0.00,0.00,1.40,0.00
124,39.983,5.15,-5.81,-0.03,-0.17,-0.21,-0.63,0.00,0.00,1.37,0.00
125,40.016,5.02,-6.43,-0.04,-0.19,-0.29,-0.51,0.00,0.00,1.36,0.00
126,40.050,4.89,-7.14,-0.05,-0.20,-0.27,-0.26,0.00,0.00,1.36,0.00
127,40.083,4.74,-7.82,-0.06,-0.21,-0.09,0.01,0.00,0.00,1.39,0.00
128,40.116,4.51,-8.50,-0.06,-0.20,0.27,0.23,0.00,0.00,1.44,0.03
129,40.150,4.26,-9.19,-0.04,-0.19,0.65,0.31,0.00,0.00,1.49,0.04
130,40.183,4.14,-9.81,-0.01,-0.18,0.78,0.15,0.00,0.00,1.51,0.02
131,40.216,4.22,-10.33,0.02,-0.17,0.54,-0.22,0.03,0.00,1.48,0.00
132,40.250,4.39,-10.86,0.03,-0.19,0.13,-0.55,0.05,0.00,1.42,0.00
133,40.283,4.49,-11.54,0.02,-0.22,-0.16,-0.55,0.03,0.00,1.38,0.00
134,40.317,4.54,-12.37,0.01,-0.24,-0.15,-0.21,0.02,0.00,1.38,0.00
135,40.350,4.56,-13.23,0.01,-0.23,0.07,0.19,0.01,0.00,1.41,0.03
136,40.383,4.57,-13.98,0.02,-0.22,0.29,0.28,0.03,0.00,1.44,0.04
137,40.416,4.64,-14.65,0.03,-0.20,0.46,-0.10,0.05,0.00,1.47,0.00
138,40.450,4.81,-15.27,0.05,-0.22,0.64,-0.71,0.07,0.00,1.49,0.00
139,40.483,4.99,-15.97,0.07,-0.26,0.86,-1.07,0.11,0.00,1.52,0.00
140,40.517,5.22,-16.91,0.11,-0.30,1.02,-0.86,0.16,0.00,1.55,0.00
141,40.550,5.64,-18.10,0.15,-0.33,0.95,-0.23,0.23,0.00,1.54,0.00
142,40.583,6.25,-19.27,0.18,-0.32,0.58,0.37,0.27,0.00,1.48,0.05
143,40.617,6.92,-20.24,0.19,-0.29,0.10,0.64,0.27,0.00,1.42,0.09
144,40.650,7.57,-21.11,0.18,-0.27,-0.23,0.67,0.25,0.00,1.37,0.10
145,40.683,8.12,-21.99,0.17,-0.25,-0.43,0.70,0.22,0.00,1.34,0.10
146,40.717,8.64,-22.83,0.15,-0.22,-0.69,0.77,0.20,0.00,1.30,0.11
147,40.750,9.17,-23.52,0.13,-0.19,-1.05,0.71,0.16,0.00,1.25,0.10
148,40.783,9.60,-24.06,0.08,-0.17,-1.31,0.51,0.10,0.00,1.22,0.07
149,40.817,9.77,-24.58,0.03,-0.16,-1.28,0.33,0.04,0.00,1.22,0.05
150,40.850,9.71,-25.13,-0.01,-0.15,-1.07,0.30,0.00,0.00,1.25,0.04
151,40.883,9.61,-25.65,-0.04,-0.14,-0.86,0.33,0.00,0.00,1.28,0.05
152,40.917,9.51,-26.08,-0.06,-0.13,-0.67,0.28,0.00,0.00,1.31,0.04
153,40.950,9.24,-26.46,-0.09,-0.12,-0.40,0.13,0.00,0.00,1.34,0.02
154,40.983,8.83,-26.85,-0.10,-0.12,-0.11,-0.03,0.00,0.00,1.39,0.00
155,41.017,8.49,-27.25,-0.09,-0.12,0.01,-0.10,0.00,0.00,1.40,0.00
156,41.050,8.29,-27.67,-0.08,-0.13,-0.14,-0.06,0.00,0.00,1.38,0.00
157,41.083,8.05,-28.11,-0.10,-0.13,-0.33,-0.01,0.00,0.00,1.35,0.00
158,41.117,7.65,-28.55,-0.12,-0.13,-0.30,0.02,0.00,0.00,1.36,0.00
159,41.150,7.20,-28.95,-0.12,-0.13,-0.04,0.06,0.00,0.00,1.40,0.01
160,41.184,6.79,-29.38,-0.12,-0.12,0.24,0.11,0.00,0.00,1.44,0.02
161,41.217,6.42,-29.82,-0.10,-0.12,0.41,0.12,0.00,0.00,1.46,0.02
162,41.250,6.10,-30.20,-0.09,-0.11,0.52,0.06,0.00,0.00,1.48,0.01
163,41.283,5.82,-30.54,-0.07,-0.11,0.58,-0.03,0.00,0.00,1.49,0.00
164,41.317,5.62,-30.93,-0.05,-0.12,0.52,-0.09,0.00,0.00,1.48,0.00
165,41.350,5.51,-31.35,-0.03,-0.12,0.31,-0.05,0.00,0.00,1.45,0.00
166,41.384,5.48,-31.76,-0.02,-0.12,0.08,0.01,0.00,0.00,1.41,0.00
167,41.417,5.40,-32.17,-0.03,-0.12,-0.04,0.02,0.00,0.00,1.40,0.00
168,41.450,5.27,-32.55,-0.03,-0.12,-0.03,0.01,0.00,0.00,1.40,0.00
169,41.484,5.15,-32.95,-0.03,-0.12,0.07,0.07,0.00,0.00,1.41,0.01
170,41.517,5.07,-33.37,-0.03,-0.12,0.20,0.19,0.00,0.00,1.43,0.03
171,41.550,4.98,-33.77,-0.02,-0.11,0.33,0.32,0.00,0.00,1.45,0.05
172,41.584,4.91,-34.10,-0.00,-0.09,0.41,0.38,0.00,0.00,1.46,0.05
173,41.617,4.92,-34.38,0.01,-0.08,0.38,0.38,0.02,0.00,1.46,0.05
174,41.650,5.02,-34.63,0.03,-0.07,0.24,0.39,0.04,0.00,1.44,0.06
